2025-06-21 17:17:35;on
2025-06-21 17:17:41;off
2025-06-21 17:20:08;off
2025-06-21 17:28:26;on
2025-06-21 17:29:41;on
2025-06-21 17:29:43;off
2025-06-21 17:29:46;on
2025-06-21 17:29:46;on
2025-06-21 17:29:47;on
2025-06-21 17:29:47;on
2025-06-21 17:29:47;on
2025-06-21 17:29:47;on
2025-06-21 17:30:48;off
2025-06-21 17:30:50;off
2025-06-21 17:30:50;off
2025-06-21 17:30:50;off
2025-06-21 17:30:51;off
2025-06-21 17:30:51;off
2025-06-21 17:31:08;on
2025-06-21 17:31:13;on
2025-06-21 17:31:14;on
2025-06-21 17:31:30;off
2025-06-21 17:31:32;on
2025-06-21 17:31:52;off
2025-06-21 17:32:08;on
2025-06-21 17:32:13;off
2025-06-21 17:32:13;on
2025-06-21 17:37:28;off
2025-06-21 17:37:45;on
2025-06-21 17:37:55;off
2025-06-21 18:59:04;on
2025-06-21 18:59:07;off
2025-06-26 17:41:40;on
2025-06-26 17:41:44;off
2025-06-26 23:30:18;on
2025-06-27 14:48:12;on
2025-06-27 14:48:22;off
2025-06-27 15:57:16;on
2025-06-27 15:58:04;off
